764654:
 num     #instances         #bytes  class name (module)
 223:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@21-ea)
 224:             9            288  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl (java.base@21-ea)
 225:             9            288  sun.util.logging.PlatformLogger$Level (java.base@21-ea)
 226:             5            280  java.util.Properties (java.base@21-ea)
 227:             7            280  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@21-ea)
 228:             5            280  sun.util.calendar.ZoneInfo (java.base@21-ea)
 229:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@21-ea)
 230:             3            264  java.util.regex.Pattern (java.base@21-ea)
 231:            11            264  java.util.regex.Pattern$GroupHead (java.base@21-ea)
 232:            11            264  java.util.regex.Pattern$GroupTail (java.base@21-ea)
 233:             4            256  java.lang.ClassValue$ClassValueMap (java.base@21-ea)
 234:             8            256  java.lang.invoke.SimpleMethodHandle (java.base@21-ea)
 235:             8            256  java.net.InetAddress$InetAddressHolder (java.base@21-ea)
 236:             8            256  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21-ea)
 237:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@21-ea)
 238:             5            240  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@21-ea)
 239:             6            240  java.lang.invoke.LambdaForm$BasicType (java.base@21-ea)
 240:            10            240  java.nio.charset.CoderResult (java.base@21-ea)
 241:            10            240  java.nio.file.StandardOpenOption (java.base@21-ea)
 242:             6            240  java.util.EnumMap (java.base@21-ea)
 243:             3            240  jdk.internal.reflect.DelegatingClassLoader (java.base@21-ea)
 244:             7            224  java.lang.System$Logger$Level (java.base@21-ea)
 245:             4            224  java.nio.HeapByteBuffer (java.base@21-ea)
 246:            14            224  java.util.concurrent.atomic.AtomicInteger (java.base@21-ea)
 247:            14            224  java.util.regex.Pattern$$Lambda/0x80000002a (java.base@21-ea)
 248:             7            224  jdk.internal.loader.NativeLibraries (java.base@21-ea)
 249:             9            216  java.lang.reflect.AccessFlag$Location (java.base@21-ea)
 250:             3            216  sun.security.provider.NativePRNG$RandomIO (java.base@21-ea)
 251:             5            200  java.lang.WeakPairMap$Pair$Weak (java.base@21-ea)
 252:             5            200  java.util.IdentityHashMap (java.base@21-ea)
 253:             5            200  sun.rmi.transport.tcp.TCPEndpoint (java.rmi@21-ea)
 254:             5            200  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@21-ea)
 255:             5            200  sun.util.resources.Bundles$BundleReference (java.base@21-ea)
 256:            12            192  [Ljava.security.Principal; (java.base@21-ea)
 257:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@21-ea)
 258:             4            192  java.io.ClassCache$CacheRef (java.base@21-ea)
 259:             6            192  java.io.File (java.base@21-ea)
 260:             4            192  java.lang.ThreadGroup (java.base@21-ea)
 261:             8            192  java.net.NetPermission (java.base@21-ea)
 262:             3            192  java.net.URL (java.base@21-ea)
 263:             3            192  java.nio.DirectByteBufferR (java.base@21-ea)
 264:            12            192  java.security.ProtectionDomain$Key (java.base@21-ea)
 265:             6            192  java.util.ImmutableCollections$MapN (java.base@21-ea)
 266:             6            192  java.util.RegularEnumSet (java.base@21-ea)
 267:             8            192  java.util.regex.Pattern$CharPropertyGreedy (java.base@21-ea)
 268:             6            192  javax.management.StandardEmitterMBean (java.management@21-ea)
 269:             8            192  sun.rmi.runtime.Log$LoggerLog (java.rmi@21-ea)
 270:            11            176  java.util.Collections$UnmodifiableSet (java.base@21-ea)
 271:             1            168  [[Ljava.math.BigInteger; (java.base@21-ea)
 272:             7            168  com.sun.jmx.remote.util.ClassLogger (java.management@21-ea)
 273:             3            168  java.io.FileCleanable (java.base@21-ea)
 274:             3            168  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21-ea)
 275:             7            168  java.time.DayOfWeek (java.base@21-ea)
 276:             7            168  java.time.ZoneOffset (java.base@21-ea)
 277:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport (java.management@21-ea)
 278:             7            168  jdk.net.ExtendedSocketOptions$ExtSocketOption (jdk.net@21-ea)
 279:             7            168  sun.management.counter.Units (java.management@21-ea)
 280:             3            168  sun.nio.cs.StreamEncoder (java.base@21-ea)
 281:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21-ea)
 282:             3            160  [Ljava.util.logging.Level; (java.logging@21-ea)
 283:             5            160  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21-ea)
 284:             5            160  java.lang.WeakPairMap$Pair$Weak$1 (java.base@21-ea)
 285:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@21-ea)
 286:             4            160  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@21-ea)
 287:            10            160  java.util.Collections$SingletonSet (java.base@21-ea)
 288:             5            160  java.util.regex.Pattern$Branch (java.base@21-ea)
 289:            10            160  jdk.internal.logger.LazyLoggers$JdkLazyLogger (java.base@21-ea)
 290:            10            160  jdk.internal.misc.InternalLock (java.base@21-ea)
 291:             2            160  sun.nio.ch.NioSocketImpl (java.base@21-ea)
 292:             4            160  sun.util.locale.provider.LocaleResources (java.base@21-ea)
 293:             5            160  sun.util.resources.Bundles$CacheKey (java.base@21-ea)
 294:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@21-ea)
 295:             3            144  com.sun.management.internal.GarbageCollectorExtImpl (jdk.management@21-ea)
 296:             6            144  java.lang.Thread$State (java.base@21-ea)
 297:             3            144  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@21-ea)
 298:             6            144  java.net.Inet4Address (java.base@21-ea)
 299:             6            144  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@21-ea)
 300:             6            144  jdk.internal.perf.PerfCounter (java.base@21-ea)
 301:             6            144  jdk.jfr.internal.SecuritySupport$SafePath (jdk.jfr@21-ea)
 302:             3            144  sun.nio.cs.UTF_8$Encoder (java.base@21-ea)
 303:             9            144  sun.util.logging.internal.LoggingProviderImpl$JULWrapper (java.logging@21-ea)
 304:             1            136  [Ljava.time.temporal.ChronoField; (java.base@21-ea)
 305:             4            128  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@21-ea)
 306:             2            128  [Ljava.time.Month; (java.base@21-ea)
 307:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping (java.management@21-ea)
 308:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping (java.management@21-ea)
 309:             4            128  java.lang.invoke.MethodHandles$Lookup (java.base@21-ea)
 310:             4            128  java.lang.module.ModuleDescriptor$Modifier (java.base@21-ea)
 311:             4            128  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@21-ea)
 312:             4            128  java.rmi.server.UID (java.rmi@21-ea)
 313:             4            128  java.util.Collections$UnmodifiableMap (java.base@21-ea)
 314:             4            128  jdk.internal.logger.BootstrapLogger$LoggingBackend (java.base@21-ea)
 315:             4            128  jdk.jfr.internal.jfc.JFC$KnownConfiguration (jdk.jfr@21-ea)
 316:             1            128  sun.nio.fs.UnixFileAttributes (java.base@21-ea)
 317:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@21-ea)
 318:             5            120  [Ljava.security.ProtectionDomain; (java.base@21-ea)
 319:             5            120  [Ljava.util.regex.Pattern$Node; (java.base@21-ea)
 320:             1            120  [[Ljava.lang.String; (java.base@21-ea)
 321:             3            120  java.lang.invoke.DirectMethodHandle$Interface (java.base@21-ea)
 322:             1            120  java.lang.ref.Finalizer$FinalizerThread (java.base@21-ea)
 323:             1            120  java.lang.ref.Reference$ReferenceHandler (java.base@21-ea)
 324:             3            120  java.lang.reflect.ProxyGenerator$ProxyMethod (java.base@21-ea)
 325:             5            120  java.security.Permissions (java.base@21-ea)
 326:             5            120  java.util.BitSet (java.base@21-ea)
 327:             5            120  java.util.Collections$UnmodifiableRandomAccessList (java.base@21-ea)
 328:             1            120  java.util.logging.LogManager$Cleaner (java.logging@21-ea)
 329:             5            120  java.util.stream.StreamOpFlag$Type (java.base@21-ea)
 330:             5            120  jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer (java.base@21-ea)
 331:             1            120  jdk.internal.misc.InnocuousThread (java.base@21-ea)
 332:             5            120  jdk.internal.platform.cgroupv1.CgroupV1SubsystemController (java.base@21-ea)
 333:             5            120  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21-ea)
 334:             3            120  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@21-ea)
 335:             1            112  [Ljava.lang.reflect.AccessFlag; (java.base@21-ea)
 336:             1            112  [Ljava.time.LocalTime; (java.base@21-ea)
 337:             2            112  java.net.SocketPermission (java.base@21-ea)
 338:             2            112  java.nio.DirectIntBufferRU (java.base@21-ea)
 339:             7            112  java.util.regex.Pattern$$Lambda/0x800000032 (java.base@21-ea)
 340:             2            112  sun.rmi.transport.Target (java.rmi@21-ea)
 341:             1            104  [Ljava.lang.reflect.ClassFileFormatVersion; (java.base@21-ea)
 342:             2            104  [Lsun.util.logging.PlatformLogger$Level; (java.base@21-ea)
 343:             1            104  java.util.jar.JarFile$JarFileEntry (java.base@21-ea)
 344:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@21-ea)
 345:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@21-ea)
 346:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@21-ea)
 347:             1            104  sun.security.jca.ProviderList$1 (java.base@21-ea)
 348:             1            104  sun.security.provider.Sun (java.base@21-ea)
 349:             2             96  [Ljava.lang.System$Logger$Level; (java.base@21-ea)
 350:             2             96  [Ljava.time.DayOfWeek; (java.base@21-ea)
 351:             1             96  [Lsun.util.locale.BaseLocale; (java.base@21-ea)
 352:             3             96  java.io.FileInputStream (java.base@21-ea)
 353:             2             96  java.io.PrintStream (java.base@21-ea)
 354:             4             96  java.lang.ClassValue$Version (java.base@21-ea)
 355:             3             96  java.lang.Runtime$Version (java.base@21-ea)
 356:             4             96  java.lang.module.ModuleDescriptor$Opens (java.base@21-ea)
 357:             2             96  java.time.zone.ZoneOffsetTransitionRule (java.base@21-ea)
 358:             4             96  java.util.Collections$SetFromMap (java.base@21-ea)
 359:             3             96  java.util.Collections$SynchronizedMap (java.base@21-ea)
 360:             3             96  java.util.HexFormat (java.base@21-ea)
 361:             4             96  java.util.LinkedHashMap$LinkedKeySet (java.base@21-ea)
 362:             4             96  java.util.LinkedHashMap$LinkedValues (java.base@21-ea)
 363:             2             96  java.util.Locale$Category (java.base@21-ea)
 364:             4             96  java.util.concurrent.ConcurrentSkipListMap$Index (java.base@21-ea)
 365:             6             96  java.util.regex.Pattern$BitClass (java.base@21-ea)
 366:             4             96  java.util.regex.Pattern$Qtype (java.base@21-ea)
 367:             4             96  java.util.stream.StreamShape (java.base@21-ea)
 368:             3             96  javax.management.MBeanConstructorInfo (java.management@21-ea)
 369:             2             96  javax.management.openmbean.TabularType (java.management@21-ea)
 370:             1             96  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@21-ea)
 371:             4             96  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@21-ea)
 372:             6             96  jdk.internal.loader.ClassLoaderValue (java.base@21-ea)
 373:             3             96  jdk.internal.reflect.MethodHandleLongFieldAccessorImpl (java.base@21-ea)
 374:             3             96  jdk.internal.util.ClassFileDumper (java.base@21-ea)
